"网络运营管理实习生-调研岗（仅限23届毕业生）","5","2023-02-11 21:01:40","3","20","2023-02-03 11:14:23","专科及以上","西安领科实业有限公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/x4e3xlrup3v5w9kz.png","安徽","100-499人","五险一金","计算机类专业、电子商务、物流管理、网络营销、国际贸易、数字媒体、市场营销","民营企业"
"调研客服岗-限23届毕业生 （提供实习证明）","5","2023-02-11 21:01:36","3","30","2023-02-08 18:37:41","专科及以上","西安领科实业有限公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/x4e3xlrup3v5w9kz.png","安徽","100-499人","五险一金","计算机类专业、大数据技术、电子商务、物流管理、网络营销、国际贸易、新媒体、市场营销，城市轨道交通运营","民营企业"
"家族办公室家族事务专员","80","2023-02-11 20:52:28","8","30","2022-12-19 14:50:20","本科及以上","太平人寿保险有限公司北京分公司海淀支公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/zur7uxp413ptvbkr.png","北京","1000-4999人","岗位晋升，技能培训，弹性工作，定期体检，专项奖金，绩效奖金，年度旅游","","国有企业"
"年金销售经理","10","2023-02-11 20:52:22","3","30","2022-12-17 21:30:20","本科及以上","太平人寿保险有限公司北京分公司海淀支公司","https://t1.chei.com.cn/student/ncss/cdn/job/img/zur7uxp413ptvbkr.png","北京","1000-4999人","岗位晋升，技能培训，弹性工作，定期体检，专项奖金，绩效奖金，年度旅游","市场营销 企业管理 金融","国有企业"
"产品销售储备经理","80","2023-02-11 20:52:16","1","70","2022-12-17 21:30:10","专科及以上","太平人寿保险有限公司北京分公司海淀支公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/zur7uxp413ptvbkr.png","北京","1000-4999人","岗位晋升，技能培训，弹性工作，定期体检，专项奖金，绩效奖金，年度旅游","市场营销 企业管理 金融","国有企业"
"储备经理人","50","2023-02-11 20:52:12","8","30","2022-12-17 21:30:01","本科及以上","太平人寿保险有限公司北京分公司海淀支公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/zur7uxp413ptvbkr.png","北京","1000-4999人","岗位晋升，技能培训，弹性工作，定期体检，专项奖金，绩效奖金，年度旅游","","国有企业"
"保险代理人","40","2023-02-11 20:52:07","6","70","2022-12-17 21:29:48","专科及以上","太平人寿保险有限公司北京分公司海淀支公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/zur7uxp413ptvbkr.png","北京","1000-4999人","岗位晋升，技能培训，弹性工作，定期体检，专项奖金，绩效奖金，年度旅游","企业管理 市场营销 保险 电子商务","国有企业"
"理财规划师","15","2023-02-11 20:52:02","3","60","2022-12-26 17:49:08","本科及以上","太平人寿保险有限公司北京分公司海淀支公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/zur7uxp413ptvbkr.png","北京","1000-4999人","岗位晋升，技能培训，弹性工作，定期体检，专项奖金，绩效奖金，年度旅游","","国有企业"
"兼职市场推广专员","80","2023-02-11 20:51:51","9","30","2022-12-26 17:49:14","硕士及以上","太平人寿保险有限公司北京分公司海淀支公司","https://t1.chei.com.cn/student/ncss/cdn/job/img/zur7uxp413ptvbkr.png","北京","1000-4999人","岗位晋升，技能培训，弹性工作，定期体检，专项奖金，绩效奖金，年度旅游","企业管理 市场营销 保险 电子商务","国有企业"
"代理","50","2023-02-11 20:51:48","10","40","2023-02-01 21:54:39","硕士及以上","太平人寿保险有限公司北京分公司海淀支公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/zur7uxp413ptvbkr.png","全国","1000-4999人","岗位晋升，技能培训，弹性工作，定期体检，专项奖金，绩效奖金，年度旅游","市场营销 企业管理 金融","国有企业"
"储备经理人（接受大四实习）","50","2023-02-11 20:51:44","0","80","2023-02-03 11:05:14","本科及以上","太平人寿保险有限公司北京分公司海淀支公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/zur7uxp413ptvbkr.png","北京","1000-4999人","岗位晋升，技能培训，弹性工作，定期体检，专项奖金，绩效奖金，年度旅游","","国有企业"
"供应链信息服务软件开发","1.2","2023-02-11 20:46:02","0.6","12","2022-12-22 20:27:09","本科及以上","航天智融信息技术（珠海）有限责任公司","","广东","1-49人","五险一金，岗位晋升，技能培训，股票期权，扁平管理，年终奖，绩效奖金，节日礼物，免费加班餐，零食水果","软件工程 计算机工程 大数据 互联网","民营企业"
"研发岗位","7.5","2023-02-11 20:38:35","4","2","2023-01-27 08:56:27","本科及以上","兰州奥普信息技术有限公司","","甘肃","1-49人","岗位晋升，技能培训，股权激励，股票期权，专项奖金","电子信息 软件 自动化 电信 计算机 自动控制 人工智能 通信","民营企业"
"硬件开发工程师","6","2023-02-11 20:38:31","4.3","3","2023-01-27 08:57:01","本科及以上","兰州奥普信息技术有限公司","","甘肃","1-49人","岗位晋升，技能培训，股权激励，股票期权，专项奖金","本科及以上学历 模拟电路及数字电路原理 Protel，Altium Designer PCB设计 电路的设计及熟悉单片机程序 传感器信号调理以及信号放大处理技术、电磁兼容设计","民营企业"
"销售助理","5.3","2023-02-11 20:38:28","3.8","4","2023-01-28 08:58:48","专科及以上","兰州奥普信息技术有限公司","","甘肃","1-49人","岗位晋升，技能培训，股权激励，股票期权，专项奖金","1、市场营销、自动化、计算机等相关专业； 2、能承受工作压力并具备自我管理及自我激励； 3、工作脚踏实地，有冲劲干劲； 4、锲而不舍的工作态度、良好的团队协作精神。","民营企业"
"研发工程师","7.5","2023-02-11 20:38:23","4","2","2023-02-02 08:18:26","本科及以上","兰州奥普信息技术有限公司","","甘肃","1-49人","岗位晋升，技能培训，股权激励，股票期权，专项奖金","电子信息 软件 自动化 电信 计算机 自动控制 人工智能 通信","民营企业"
"线上房产运营官","8","2023-02-11 20:01:57","5","10","2022-12-18 18:06:02","专科及以上","三河市链家房产经纪有限公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/9121j5rct645l5m6.png","河北","5000以上","五险一金","金融 会计 化工 销售 运营","上市公司"
"房产顾问式销售","40","2023-02-11 20:01:55","4","5","2022-12-18 18:06:24","本科及以上","三河市链家房产经纪有限公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/9121j5rct645l5m6.png","河北","5000以上","五险一金","市场营销 工商管理","上市公司"
"二手房置业顾问","9","2023-02-11 20:01:51","4","15","2022-12-18 18:06:33","专科及以上","三河市链家房产经纪有限公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/9121j5rct645l5m6.png","河北","5000以上","五险一金","市场营销 工商管理","上市公司"
"世界500强企业-北京链家-无责底薪6000起","15","2023-02-11 19:52:57","6","8","2023-02-01 11:36:35","本科及以上","北京链家置地房地产经纪有限公司海淀第七十六分公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/g15llzukck6pzwpx.png","北京","5000以上","五险一金，岗位晋升，技能培训，弹性工作，定期体检，绩效奖金","工商管理 市场营销 电子商务 经济学类 体育学类 教育学类 化工与制药类 经济与贸易类 农业类 财务 金融学类","上市公司"
"北京链家总部直招—营销国贸专业","10","2023-02-11 19:52:57","6","6","2023-02-01 11:35:58","本科及以上","北京链家置地房地产经纪有限公司海淀第七十六分公司","https://t1.chei.com.cn/student/ncss/cdn/job/img/g15llzukck6pzwpx.png","北京","5000以上","五险一金，岗位晋升，技能培训，弹性工作，定期体检，绩效奖金","工商管理 市场营销 电子商务 经济学类 体育学类 教育学类 化工与制药类 经济与贸易类 农业类 财务 金融学类","上市公司"
